category	display	page	task_entries	pct
MANOOL	MANOOL	MANOOL	6	0.35%
MariaDB	MariaDB	MariaDB	6	0.35%
MySQL	MySQL	MySQL	6	0.35%
NSIS	NSIS	NSIS	6	0.35%
Onyx (wasm)	Onyx	Onyx (wasm)	6	0.35%
Oxygene	Oxygene	Oxygene	6	0.35%
Pixilang	Pixilang	Pixilang	6	0.35%
Rhovas	Rhovas	Rhovas	6	0.35%
Sage	Sage	Sage	6	0.35%
SIMPOL	SIMPOL	SIMPOL	6	0.35%
SkookumScript	SkookumScript	SkookumScript	6	0.35%
Stringle	Stringle	Stringle	6	0.35%
Tern	Tern	Tern	6	0.35%
Turing	Turing	Turing	6	0.35%
XEec	XEec	XEec	6	0.35%
Yacas	Yacas	Yacas	6	0.35%
4D	4D	4D	5	0.29%
Adina	Adina	Adina	5	0.29%
B	B	B	5	0.29%
Berkeley Logo	Berkeley Logo	Berkeley Logo	5	0.29%
Blade	Blade	Blade	5	0.29%
Dylan.NET	Dylan.NET	Dylan.NET	5	0.29%
Epoxy	Epoxy	Epoxy	5	0.29%
Fan	Fan	Fan	5	0.29%
GEORGE	GEORGE	GEORGE	5	0.29%
Glee	Glee	Glee	5	0.29%
Goboscript	Goboscript	Goboscript	5	0.29%
Hope	Hope	Hope	5	0.29%
JCL	JCL	JCL	5	0.29%
KQL	KQL	KQL	5	0.29%
L++	L++	L++	5	0.29%
Malbolge	Malbolge	Malbolge	5	0.29%
MBS	MBS	MBS	5	0.29%
MelonBasic	MelonBasic	MelonBasic	5	0.29%
Nickle	Nickle	Nickle	5	0.29%
Nyquist	Nyquist	Nyquist	5	0.29%
Panoramic	Panoramic	Panoramic	5	0.29%
PIR	PIR	PIR	5	0.29%
Pyret	Pyret	Pyret	5	0.29%
ScratchScript	ScratchScript	ScratchScript	5	0.29%
TIScript	TIScript	TIScript	5	0.29%
TPP	TPP	TPP	5	0.29%
Ultimate++	Ultimate++	Ultimate++	5	0.29%
Unison	Unison	Unison	5	0.29%
Vale	Vale	Vale	5	0.29%
Wisp	Wisp	Wisp	5	0.29%
6800 Assembly	6800 Assembly	6800 Assembly	4	0.23%
AmbientTalk	AmbientTalk	AmbientTalk	4	0.23%
Arbre	Arbre	Arbre	4	0.23%
B4X	B4X	B4X	4	0.23%
Blast	Blast	Blast	4	0.23%
BlooP	BlooP	BlooP	4	0.23%
Bori	Bori	Bori	4	0.23%
C++/CLI	C++/CLI	C++-CLI	4	0.23%
Cind	Cind	Cind	4	0.23%
Cobra	Cobra	Cobra	4	0.23%
Corescript	Corescript	Corescript	4	0.23%
Crack	Crack	Crack	4	0.23%
Cubescript	Cubescript	Cubescript	4	0.23%
Dafny	Dafny	Dafny	4	0.23%
Emojicode	Emojicode	Emojicode	4	0.23%
Fhidwfe	Fhidwfe	Fhidwfe	4	0.23%
Grain	Grain	Grain	4	0.23%
Guile	Guile	Guile	4	0.23%
HPPPL	HPPPL	HPPPL	4	0.23%
HQ9+	HQ9+	HQ9+	4	0.23%
Imp77	Imp77	Imp77	4	0.23%
Jinja	Jinja	Jinja	4	0.23%
Kabap	Kabap	Kabap	4	0.23%
Keg	Keg	Keg	4	0.23%
Kite	Kite	Kite	4	0.23%
Lisp	Lisp	Lisp	4	0.23%
MEL	MEL	MEL	4	0.23%
Mojo	Mojo	Mojo	4	0.23%
Monicelli	Monicelli	Monicelli	4	0.23%
Owl Lisp	Owl Lisp	Owl Lisp	4	0.23%
PL/pgSQL	PL/pgSQL	PL-pgSQL	4	0.23%
Portugol	Portugol	Portugol	4	0.23%
Purity	Purity	Purity	4	0.23%
QL SuperBASIC	QL SuperBASIC	QL SuperBASIC	4	0.23%
RASEL	RASEL	RASEL	4	0.23%
Rhope	Rhope	Rhope	4	0.23%
RTL/2	RTL/2	RTL-2	4	0.23%
SimpleCode	SimpleCode	SimpleCode	4	0.23%
TI-83 Hex Assembly	TI-83 Hex Assembly	TI-83 Hex Assembly	4	0.23%
TransFORTH	TransFORTH	TransFORTH	4	0.23%
Uniface	Uniface	Uniface	4	0.23%
Visual Objects	Visual Objects	Visual Objects	4	0.23%
Whenever	Whenever	Whenever	4	0.23%
XSLT 2.0	XSLT 2.0	XSLT 2.0	4	0.23%
ZED	ZED	ZED	4	0.23%
Acurity Architect	Acurity Architect	Acurity Architect	3	0.17%
Assembly	Assembly	Assembly	3	0.17%
Basic09	Basic09	Basic09	3	0.17%
Battlestar	Battlestar	Battlestar	3	0.17%
BML	BML	BML	3	0.17%
C1R	C1R	C1R	3	0.17%
CafeOBJ	CafeOBJ	CafeOBJ	3	0.17%
Casio BASIC	Casio BASIC	Casio BASIC	3	0.17%
Cat	Cat	Cat	3	0.17%
Cherrycake	Cherrycake	Cherrycake	3	0.17%
ContextFree	ContextFree	ContextFree	3	0.17%
Curto	Curto	Curto	3	0.17%
Datalog	Datalog	Datalog	3	0.17%
DataWeave	DataWeave	DataWeave	3	0.17%
Dodo0	Dodo0	Dodo0	3	0.17%
Explore	Explore	Explore	3	0.17%
GB BASIC	GB BASIC	GB BASIC	3	0.17%
Glagol	Glagol	Glagol	3	0.17%
Global Script	Global Script	Global Script	3	0.17%
Guish	Guish	Guish	3	0.17%
JavaFX Script	JavaFX Script	JavaFX Script	3	0.17%
Kaya	Kaya	Kaya	3	0.17%
Kitten	Kitten	Kitten	3	0.17%
LiveScript	LiveScript	LiveScript	3	0.17%
Maude	Maude	Maude	3	0.17%
MoonRock	MoonRock	MoonRock	3	0.17%
Mosaic	Mosaic	Mosaic	3	0.17%
Myrddin	Myrddin	Myrddin	3	0.17%
NATURAL	NATURAL	NATURAL	3	0.17%
OASYS	OASYS	OASYS	3	0.17%
Object Pascal Implementations	Object Pascal Implementations	Object Pascal Implementations	3	0.17%
PASM	PASM	PASM	3	0.17%
PDP-11 Assembly	PDP-11 Assembly	PDP-11 Assembly	3	0.17%
PepsiScript	PepsiScript	PepsiScript	3	0.17%
Powerbuilder	Powerbuilder	Powerbuilder	3	0.17%
Processing.R	Processing.R	Processing.R	3	0.17%
Sass/SCSS	Sass/SCSS	Sass-SCSS	3	0.17%
Squirrel	Squirrel	Squirrel	3	0.17%
SuperTalk	SuperTalk	SuperTalk	3	0.17%
Swahili	Swahili	Swahili	3	0.17%
Tosh	Tosh	Tosh	3	0.17%
Woma	Woma	Woma	3	0.17%
X10	X10	X10	3	0.17%
உயிர்/Uyir	உயிர்/Uyir	உயிர்-Uyir	3	0.17%
1C	1C	1C	2	0.12%
Algae	Algae	Algae	2	0.12%
AngelScript	AngelScript	AngelScript	2	0.12%
Aria	Aria	Aria	2	0.12%
Bird	Bird	Bird	2	0.12%
Brace	Brace	Brace	2	0.12%
Cduce	Cduce	Cduce	2	0.12%
CHR	CHR	CHR	2	0.12%
CJam	CJam	CJam	2	0.12%
Clipper/XBase++	Clipper/XBase++	Clipper-XBase++	2	0.12%
Convex	Convex	Convex	2	0.12%
Deluge	Deluge	Deluge	2	0.12%
DeviousYarn	DeviousYarn	DeviousYarn	2	0.12%
DMS	DMS	DMS	2	0.12%
Elan	Elan	Elan	2	0.12%
ELLA	ELLA	ELLA	2	0.12%
Enguage	Enguage	Enguage	2	0.12%
Extended BrainF***	Extended BrainF***	Extended BrainF***	2	0.12%
F	F	F	2	0.12%
Ferite	Ferite	Ferite	2	0.12%
FurryScript	FurryScript	FurryScript	2	0.12%
GLBasic	GLBasic	GLBasic	2	0.12%
Hack	Hack	Hack	2	0.12%
HyperTalk	HyperTalk	HyperTalk	2	0.12%
Jack	Jack	Jack	2	0.12%
JAMES II/Rule-based Cellular Automata	JAMES II/Rule-based Cellular Automata	JAMES II-Rule-based Cellular Automata	2	0.12%
JOVIAL	JOVIAL	JOVIAL	2	0.12%
JSE	JSE	JSE	2	0.12%
KAP	KAP	KAP	2	0.12%
KL1	KL1	KL1	2	0.12%
Labyrinth	Labyrinth	Labyrinth	2	0.12%
Luna	Luna	Luna	2	0.12%
Mastermind	Mastermind	Mastermind	2	0.12%
MathCortex	MathCortex	MathCortex	2	0.12%
MDL	MDL	MDL	2	0.12%
Metapost	Metapost	Metapost	2	0.12%
MINIL	MINIL	MINIL	2	0.12%
Mn	Mn	Mn	2	0.12%
MyrtleScript	MyrtleScript	MyrtleScript	2	0.12%
NOWUT	NOWUT	NOWUT	2	0.12%
Occam	Occam	Occam	2	0.12%
OOCalc	OOCalc	OOCalc	2	0.12%
OpenLisp	OpenLisp	OpenLisp	2	0.12%
PeopleCode	PeopleCode	PeopleCode	2	0.12%
Perl5i	Perl5i	Perl5i	2	0.12%
Peylang	Peylang	Peylang	2	0.12%
Pict	Pict	Pict	2	0.12%
Prog8	Prog8	Prog8	2	0.12%
Programming Language	Programming Language	Programming Language	2	0.12%
PSQL	PSQL	PSQL	2	0.12%
Quill	Quill	Quill	2	0.12%
Roc	Roc	Roc	2	0.12%
SapbotVM	SapbotVM	SapbotVM	2	0.12%
Sing	Sing	Sing	2	0.12%
Sisal	Sisal	Sisal	2	0.12%
Skew	Skew	Skew	2	0.12%
Soda	Soda	Soda	2	0.12%
SPSS	SPSS	SPSS	2	0.12%
TailDot	TailDot	TailDot	2	0.12%
TechBASIC	TechBASIC	TechBASIC	2	0.12%
ToffeeScript	ToffeeScript	ToffeeScript	2	0.12%
Turbo-Basic XL	Turbo-Basic XL	Turbo-Basic XL	2	0.12%
Viua VM assembly	Viua VM assembly	Viua VM assembly	2	0.12%
Vyxal	Vyxal	Vyxal	2	0.12%
Waduzitdo	Waduzitdo	Waduzitdo	2	0.12%
XL	XL	XL	2	0.12%
XPath 2.0	XPath 2.0	XPath 2.0	2	0.12%
XProc	XProc	XProc	2	0.12%
XSLT 1.0	XSLT 1.0	XSLT 1.0	2	0.12%
XUL	XUL	XUL	2	0.12%
ZPL	ZPL	ZPL	2	0.12%
80386 Assembly	80386 Assembly	80386 Assembly	1	0.06%
AMPL	AMPL	AMPL	1	0.06%
Anyways	Anyways	Anyways	1	0.06%
Apricot	Apricot	Apricot	1	0.06%
ASP	ASP	ASP	1	0.06%
AspectJ	AspectJ	AspectJ	1	0.06%
AutoHotKey V2	AutoHotKey V2	AutoHotKey V2	1	0.06%
B4J	B4J	B4J	1	0.06%
Bas	Bas	Bas	1	0.06%
Batari Basic	Batari Basic	Batari Basic	1	0.06%
Biferno	Biferno	Biferno	1	0.06%
C2	C2	C2	1	0.06%
Clarion	Clarion	Clarion	1	0.06%
Coconut	Coconut	Coconut	1	0.06%
DDNC	DDNC	DDNC	1	0.06%
DIV Games Studio	DIV Games Studio	DIV Games Studio	1	0.06%
DreamBerd	DreamBerd	DreamBerd	1	0.06%
ElastiC	ElastiC	ElastiC	1	0.06%
ESQL	ESQL	ESQL	1	0.06%
FormulaOne	FormulaOne	FormulaOne	1	0.06%
FP	FP	FP	1	0.06%
FRISC Assembly	FRISC Assembly	FRISC Assembly	1	0.06%
G-fu	G-fu	G-fu	1	0.06%
Gentee	Gentee	Gentee	1	0.06%
Go!	Go!	Go!	1	0.06%
Goaldi	Goaldi	Goaldi	1	0.06%
Heron	Heron	Heron	1	0.06%
HLA	HLA	HLA	1	0.06%
Hopper	Hopper	Hopper	1	0.06%
Informix 4GL	Informix 4GL	Informix 4GL	1	0.06%
Inko	Inko	Inko	1	0.06%
Iptscrae	Iptscrae	Iptscrae	1	0.06%
Jacquard Loom	Jacquard Loom	Jacquard Loom	1	0.06%
JoCaml	JoCaml	JoCaml	1	0.06%
JScript.NET	JScript.NET	JScript.NET	1	0.06%
JudoScript	JudoScript	JudoScript	1	0.06%
Kamailio Script	Kamailio Script	Kamailio Script	1	0.06%
Lambda Prolog	Lambda Prolog	Lambda Prolog	1	0.06%
LibreOffice Basic	LibreOffice Basic	LibreOffice Basic	1	0.06%
Lush	Lush	Lush	1	0.06%
Lychen	Lychen	Lychen	1	0.06%
Mia	Mia	Mia	1	0.06%
Mond	Mond	Mond	1	0.06%
Monkey	Monkey	Monkey	1	0.06%
MUF	MUF	MUF	1	0.06%
Mythryl	Mythryl	Mythryl	1	0.06%
NASL	NASL	NASL	1	0.06%
Neat	Neat	Neat	1	0.06%
NewtonScript	NewtonScript	NewtonScript	1	0.06%
Night	Night	Night	1	0.06%
NLP++	NLP++	NLP++	1	0.06%
Omega	Omega	Omega	1	0.06%
Opa	Opa	Opa	1	0.06%
ParaCL	ParaCL	ParaCL	1	0.06%
Pare	Pare	Pare	1	0.06%
Pico-8	Pico-8	Pico-8	1	0.06%
Plan	Plan	Plan	1	0.06%
PowerPC Assembly	PowerPC Assembly	PowerPC Assembly	1	0.06%
Qore	Qore	Qore	1	0.06%
Quorum	Quorum	Quorum	1	0.06%
RPGIV	RPGIV	RPGIV	1	0.06%
RPL/2	RPL/2	RPL-2	1	0.06%
ScriptBasic	ScriptBasic	ScriptBasic	1	0.06%
Setl4	Setl4	Setl4	1	0.06%
SheerPower 4GL	SheerPower 4GL	SheerPower 4GL	1	0.06%
SMEQL	SMEQL	SMEQL	1	0.06%
Soar	Soar	Soar	1	0.06%
SoneKing Assembly	SoneKing Assembly	SoneKing Assembly	1	0.06%
SPARC Assembly	SPARC Assembly	SPARC Assembly	1	0.06%
StreamIt	StreamIt	StreamIt	1	0.06%
Supernova	Supernova	Supernova	1	0.06%
Teco	Teco	Teco	1	0.06%
Terra	Terra	Terra	1	0.06%
TestML	TestML	TestML	1	0.06%
Thyrd	Thyrd	Thyrd	1	0.06%
TRS-80 BASIC	TRS-80 BASIC	TRS-80 BASIC	1	0.06%
TutorialD	TutorialD	TutorialD	1	0.06%
Twelf	Twelf	Twelf	1	0.06%
Typed Racket	Typed Racket	Typed Racket	1	0.06%
VB6	VB6	VB6	1	0.06%
Vox	Vox	Vox	1	0.06%
Wollok	Wollok	Wollok	1	0.06%
X-script	X-script	X-script	1	0.06%
Xanadu	Xanadu	Xanadu	1	0.06%
Ya	Ya	Ya	1	0.06%
.QL	.QL	.QL	0	0%
8 1/2	8 1/2	8 1-2	0	0%
A+	A+	A+	0	0%
Agda2	Agda2	Agda2	0	0%
AHDL	AHDL	AHDL	0	0%
AIDED NATURAL LANGUAGE	AIDED NATURAL LANGUAGE	AIDED NATURAL LANGUAGE	0	0%
ALGOL	ALGOL	ALGOL	0	0%
Alice ML	Alice ML	Alice ML	0	0%
ANT	ANT	ANT	0	0%
Application Master	Application Master	Application Master	0	0%
ASP.Net	ASP.Net	ASP.Net	0	0%
AspectC++	AspectC++	AspectC++	0	0%
AssemblyScript	AssemblyScript	AssemblyScript	0	0%
Autohotkey V2	Autohotkey V2	Autohotkey V2 (2)	0	0%
Axum	Axum	Axum	0	0%
Ayrch	Ayrch	Ayrch	0	0%
Beta	Beta	Beta	0	0%
BLISS	BLISS	BLISS	0	0%
C0H	C0H	C0H	0	0%
Caml	Caml	Caml	0	0%
CB80	CB80	CB80	0	0%
Cecil	Cecil	Cecil	0	0%
Changuage	Changuage	Changuage	0	0%
Cilk	Cilk	Cilk	0	0%
Cilk++	Cilk++	Cilk++	0	0%
Diesel	Diesel	Diesel	0	0%
EhBASIC	EhBASIC	EhBASIC	0	0%
Epigram	Epigram	Epigram	0	0%
FAUST	FAUST	FAUST	0	0%
FeatureC++	FeatureC++	FeatureC++	0	0%
Felix	Felix	Felix	0	0%
FLORA-2	FLORA-2	FLORA-2	0	0%
Florid	Florid	Florid	0	0%
FPI	FPI	FPI	0	0%
FreeMat	FreeMat	FreeMat	0	0%
Gerbil	Gerbil	Gerbil	0	0%
Goo	Goo	Goo	0	0%
IPL Loader Config	IPL Loader Config	IPL Loader Config	0	0%
Jabaco	Jabaco	Jabaco	0	0%
Kantalo	Kantalo	Kantalo	0	0%
KeyList Databasing	KeyList Databasing	KeyList Databasing	0	0%
L.in.oleum	L.in.oleum	L.in.oleum	0	0%
Languages by Feature	Languages by Feature	Languages by Feature	0	0%
LAST	LAST	LAST	0	0%
LC2200 Assembly	LC2200 Assembly	LC2200 Assembly	0	0%
Leon	Leon	Leon	0	0%
LLP	LLP	LLP	0	0%
Loglan82	Loglan82	Loglan82	0	0%
Lolli	Lolli	Lolli	0	0%
Lotus 123 Macro Scripting	Lotus 123 Macro Scripting	Lotus 123 Macro Scripting	0	0%
Lout	Lout	Lout	0	0%
LSTS	LSTS	LSTS	0	0%
Lygon	Lygon	Lygon	0	0%
M680x0	M680x0	M680x0	0	0%
Macsyma	Macsyma	Macsyma	0	0%
MAPPER	MAPPER	MAPPER	0	0%
ME10 macro	ME10 macro	ME10 macro	0	0%
MGS	MGS	MGS	0	0%
Mirelle	Mirelle	Mirelle	0	0%
Motoko	Motoko	Motoko	0	0%
MPIF90	MPIF90	MPIF90	0	0%
Mython	Mython	Mython	0	0%
Nice	Nice	Nice	0	0%
NQP	NQP	NQP	0	0%
OpenC++	OpenC++	OpenC++	0	0%
Pentium Assembly	Pentium Assembly	Pentium Assembly	0	0%
Perl 6	Perl 6	Perl 6	0	0%
PL/B	PL/B	PL-B	0	0%
PLUS	PLUS	PLUS	0	0%
PLZ/SYS	PLZ/SYS	PLZ-SYS	0	0%
PPL	PPL	PPL	0	0%
QuakeC	QuakeC	QuakeC	0	0%
Reason	Reason	Reason	0	0%
Reduce	Reduce	Reduce	0	0%
RLSL	RLSL	RLSL	0	0%
RTSL	RTSL	RTSL	0	0%
Rubylog	Rubylog	Rubylog	0	0%
S++	S++	S++	0	0%
Script Basic	Script Basic	Script Basic	0	0%
Script3D	Script3D	Script3D	0	0%
SimpleLang	SimpleLang	SimpleLang	0	0%
Star	Star	Star	0	0%
Superbase BASIC	Superbase BASIC	Superbase BASIC	0	0%
SWI-Prolog	SWI-Prolog	SWI-Prolog	0	0%
TAL	TAL	TAL	0	0%
TeLa	TeLa	TeLa	0	0%
Thistle	Thistle	Thistle	0	0%
TI BASIC	TI BASIC	TI BASIC	0	0%
TIS-100	TIS-100	TIS-100	0	0%
Tobbisk	Tobbisk	Tobbisk	0	0%
UC++	UC++	UC++	0	0%
UScript	UScript	UScript	0	0%
UserRPL	UserRPL	UserRPL	0	0%
VRML	VRML	VRML	0	0%
WML	WML	WML	0	0%
XBase	XBase	XBase	0	0%
XS	XS	XS	0	0%
ΜC++	ΜC++	ΜC++	0	0%
